"","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"ENST00000697193.1",-0.568834286836342,-0.572657482931057,0.250066255781896,0.357844884717331,0.968319090510411
"ENST00000210060.12",0.28270958217784,0.282795680464763,4.55052484735793,0.805696280025253,1
"ENST00000594424.5",-0.394559913169626,-0.39634818358951,0.760495514469019,0.635718255707132,1
"ENST00000601537.5",0.820968978765063,0.82321165724086,1.49268442428307,0.381146262951268,0.98417357076742
"ENST00000595844.5",0.0219804518696119,0.0222734500972892,-0.503824628590849,0.972295650922173,1
"ENST00000597152.5",-0.658894134560039,-0.666225001685962,-0.369020887998333,0.792813003837939,1
"ENST00000395008.6",-2.35857612184161,-2.37163343660767,1.0288952595319,0.000508938514192902,0.0093038558606911
"ENST00000361143.10",-1.9780188623979,-1.98027425888444,3.07430688695663,8.74668310476777e-08,3.33347475792494e-06
"ENST00000457382.6",-0.333826483850967,-0.334103122101877,3.11096697470428,0.546483057200822,1
"ENST00000484807.1",0.253424480694974,0.254610159380836,0.692083518059147,0.660806291257768,1
"ENST00000426174.6",0.990985381298606,0.993004242644602,1.93953972153219,0.105414800928043,0.566856058046739
"ENST00000303372.7",0.392452586735019,0.39289098993616,2.71772865415935,0.462940583757813,1
"ENST00000355765.11",-0.867358077626756,-0.869749083986973,1.49346601227789,0.121529465950386,0.615375608566018
"ENST00000477626.5",1.11282681909251,1.11417478398442,2.70265948320144,0.0230853370911485,0.212801966302627
"ENST00000424478.5",-0.0899840472496158,-0.0901250968458147,2.27216231307576,0.89394084735783,1
"ENST00000554429.5",1.05391411914562,1.06501147510776,-0.245722121815361,0.675847316183859,1
"ENST00000554785.1",0.0624213688264359,0.0627373372711747,0.677699936002953,0.919551165182591,1
"ENST00000371817.8",-0.261098061286914,-0.261102596949714,8.67604028465428,0.97476538425577,1
"ENST00000371820.4",-0.198153704891095,-0.198155396836046,9.69725101350453,0.999999981863025,1
"ENST00000460264.5",-0.649237231898003,-0.652147257122188,0.808945019357178,0.284762391711368,0.901670088499461
"ENST00000465877.1",-0.858317440144483,-0.862400316860085,0.757742655384246,0.159164069923129,0.70243422255196
"ENST00000296273.7",-1.42087363666108,-1.42263390942203,2.76007730048898,0.000494706911496986,0.00907349957081864
"ENST00000374690.9",-0.233297386934745,-0.233535608526031,2.82063098937676,0.686465483677465,1
"ENST00000612452.5",-0.914286590210037,-0.920312364673044,0.319758580783391,0.501834881471657,1
"ENST00000376215.10",-1.12296370784592,-1.12511638113492,2.0572156339795,0.0211991266838169,0.200163008640334
